Дата публикации,Автор,Текст отзыва,Оценка,Количество фотографий,Наличие видео,Теги
"2025-11-13 13:59:55","Назад","Достоинства:Я просто в восторге от этого ночника! Красивые цвета, можно убавлять/прибавлять яркость, а самое главное это пульт, с ним очень удобно менять цвета, добавлять яркости. Я, как мама младенца осталась довольна, ночью незаменимая вещь. Спасибо))",5,171,Да,""
"2025-11-13 13:59:55","Назад","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 13:59:56","Смотреть все 1639","Достоинства:Я просто в восторге от этого ночника! Красивые цвета, можно убавлять/прибавлять яркость, а самое главное это пульт, с ним очень удобно менять цвета, добавлять яркости. Я, как мама младенца осталась довольна, ночью незаменимая вещь. Спасибо))",5,170,Да,""
"2025-11-13 13:59:56","Смотреть все 1639","Смотреть все 1639",5,30,Да,""
"2025-11-13 13:59:56","Смотреть все 1639","Смотреть все 1639",5,30,Да,""
"2025-11-13 13:59:57","Смотреть все 1639","Смотреть все 1639",5,0,Нет,""
"2025-11-13 13:59:57","Сортировать по:","С фото 2677",5,0,Нет,""
"2025-11-13 13:59:57","Ирина","Текст отзыва недоступен",5,1,Нет,""
"2025-11-13 13:59:58","Анонимный покупатель","Текст отзыва недоступен",5,1,Нет,""
"2025-11-13 13:59:58","Анонимный покупатель","Текст отзыва недоступен",5,1,Нет,""
"2025-11-13 13:59:58","Ирина","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 13:59:58","Ирина","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 13:59:59","Закреплён","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 13:59:59","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 13:59:59","Закреплён","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 13:59:59","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:00","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:00","Анонимный покупатель","Достоинства:Я просто в восторге от этого ночника! Красивые цвета, можно убавлять/прибавлять яркость, а самое главное это пульт, с ним очень удобно менять цвета, добавлять яркости. Я, как мама младенца осталась довольна, ночью незаменимая вещь. Спасибо))",5,6,Да,""
"2025-11-13 14:00:00","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:01","Ответ продавца","Спасибо, Ирина! Мы рады, что вам понравился наш ночник. Будем рады видеть вас снова у нас. Если возникнут вопросы или пожелания, обращайтесь к нам с уверенностью. Удачных вам покупок! ещё",5,0,Нет,""
"2025-11-13 14:00:01","Ответ продавца","Спасибо, Ирина! Мы рады, что вам понравился наш ночник. Будем рады видеть вас снова у нас. Если возникнут вопросы или пожелания, обращайтесь к нам с уверенностью. Удачных вам покупок! ещё",5,0,Нет,""
"2025-11-13 14:00:01","Инна","Выкупили",5,1,Нет,""
"2025-11-13 14:00:02","Анонимный покупатель","Текст отзыва недоступен",5,1,Нет,""
"2025-11-13 14:00:02","Анонимный покупатель","Текст отзыва недоступен",5,1,Нет,""
"2025-11-13 14:00:03","Инна","Выкупили",5,0,Нет,""
"2025-11-13 14:00:03","Инна","Выкупили",5,0,Нет,""
"2025-11-13 14:00:03","Выкупили","Выкупили",5,0,Нет,""
"2025-11-13 14:00:03","Сегодня, 13:28","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:04","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:04","Сегодня, 13:28","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:04","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:04","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:05","Комментарий:Все отлично, спасибо!","Достоинства:Очень классный ночник, яркий, хорошо заряжается) Комментарий:Все отлично, спасибо!",5,3,Да,""
"2025-11-13 14:00:05","Плюсы товара","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:05","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:05","Татьяна Погосян","Выкупили",5,1,Нет,""
"2025-11-13 14:00:05","Анонимный покупатель","Текст отзыва недоступен",5,1,Нет,""
"2025-11-13 14:00:06","Анонимный покупатель","Текст отзыва недоступен",5,1,Нет,""
"2025-11-13 14:00:06","Татьяна Погосян","Выкупили",5,0,Нет,""
"2025-11-13 14:00:06","Татьяна Погосян","Выкупили",5,0,Нет,""
"2025-11-13 14:00:06","Выкупили","Выкупили",5,0,Нет,""
"2025-11-13 14:00:07","Сегодня, 13:27","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:07","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:07","Сегодня, 13:27","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:07","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:08","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:08","Анонимный покупатель","Интересный ночничёк.Всё в комплекте.Ребёнку понравился.",5,2,Да,""
"2025-11-13 14:00:08","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:09","Ирина","Выкупили",5,1,Нет,""
"2025-11-13 14:00:09","Анонимный покупатель","Текст отзыва недоступен",5,1,Нет,""
"2025-11-13 14:00:09","Анонимный покупатель","Текст отзыва недоступен",5,1,Нет,""
"2025-11-13 14:00:09","Ирина","Выкупили",5,0,Нет,""
"2025-11-13 14:00:10","Ирина","Выкупили",5,0,Нет,""
"2025-11-13 14:00:10","Выкупили","Выкупили",5,0,Нет,""
"2025-11-13 14:00:10","Сегодня, 13:22","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:10","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:11","Сегодня, 13:22","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:11","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:11","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:11","Недостатки:Минусов совсем нет.","Достоинства:Классный эффект от этого космонавта. Звёздочки понравились всей семье. Поэтому куплю ещё,чтобы были в каждой комнате Недостатки:Минусов совсем нет. Комментарий:Хороший подарок . Пришло всё в целости. Продавца рекомендую.",5,0,Нет,""
"2025-11-13 14:00:12","Плюсы товара","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:12","Ответ продавца","Спасибо за ваш отзыв, Ирина! Мы рады, что вам понравился наш ночник звездное небо проектор космонавт как подарок на Новый год. Мы стараемся делать все возможное, чтобы наши товары доставляли только положительные эмоции. Обращайтесь к нам снова, будем рады помочь вам с выбором подарков! Всего самого наилучшего вам! ещё",5,0,Нет,""
"2025-11-13 14:00:12","Ответ продавца","Спасибо за ваш отзыв, Ирина! Мы рады, что вам понравился наш ночник звездное небо проектор космонавт как подарок на Новый год. Мы стараемся делать все возможное, чтобы наши товары доставляли только положительные эмоции. Обращайтесь к нам снова, будем рады помочь вам с выбором подарков! Всего самого наилучшего вам! ещё",5,0,Нет,""
"2025-11-13 14:00:12","Покупатель Wildberries","Выкупили",5,1,Нет,""
"2025-11-13 14:00:12","Анонимный покупатель","Текст отзыва недоступен",5,1,Нет,""
"2025-11-13 14:00:13","Анонимный покупатель","Текст отзыва недоступен",5,1,Нет,""
"2025-11-13 14:00:13","Покупатель Wildberries","Выкупили",5,0,Нет,""
"2025-11-13 14:00:13","Покупатель Wildberries","Выкупили",5,0,Нет,""
"2025-11-13 14:00:13","Выкупили","Выкупили",5,0,Нет,""
"2025-11-13 14:00:14","Сегодня, 13:14","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:14","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:14","Сегодня, 13:14","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:14","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:15","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:15","Недостатки:Минусов нет","Достоинства:Отличный ночник, красивые цвета, можно управлять пультом Недостатки:Минусов нет",5,4,Да,""
"2025-11-13 14:00:15","Плюсы товара","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:15","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:15","Ответ продавца","Здравствуйте !Спасибо большое за ваш отзыв и высокую оценку! Нам очень приятно, что товар вам понравился. Мы стараемся поддерживать высокое качество и сервис, чтобы каждый покупатель оставался доволен. Будем рады видеть вас снова! ещё",5,0,Нет,""
"2025-11-13 14:00:16","Ответ продавца","Здравствуйте !Спасибо большое за ваш отзыв и высокую оценку! Нам очень приятно, что товар вам понравился. Мы стараемся поддерживать высокое качество и сервис, чтобы каждый покупатель оставался доволен. Будем рады видеть вас снова! ещё",5,0,Нет,""
"2025-11-13 14:00:16","Светлана","Выкупили",5,1,Нет,""
"2025-11-13 14:00:16","Анонимный покупатель","Текст отзыва недоступен",5,1,Нет,""
"2025-11-13 14:00:16","Анонимный покупатель","Текст отзыва недоступен",5,1,Нет,""
"2025-11-13 14:00:17","Светлана","Выкупили",5,0,Нет,""
"2025-11-13 14:00:17","Светлана","Выкупили",5,0,Нет,""
"2025-11-13 14:00:17","Выкупили","Выкупили",5,0,Нет,""
"2025-11-13 14:00:18","Сегодня, 13:06","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:18","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:18","Сегодня, 13:06","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:18","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:19","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:19","Плюсы товара","Малыш в восторге,сейчас уже звёздочки ловим по стенам,постели ,полу,верещит от удовольствия и красок.",5,0,Нет,""
"2025-11-13 14:00:19","Плюсы товара","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:19","Ответ продавца","Здравствуйте !Спасибо большое за ваш отзыв и высокую оценку! Нам очень приятно, что товар вам понравился. Мы стараемся поддерживать высокое качество и сервис, чтобы каждый покупатель оставался доволен. Будем рады видеть вас снова! ещё",5,0,Нет,""
"2025-11-13 14:00:20","Ответ продавца","Здравствуйте !Спасибо большое за ваш отзыв и высокую оценку! Нам очень приятно, что товар вам понравился. Мы стараемся поддерживать высокое качество и сервис, чтобы каждый покупатель оставался доволен. Будем рады видеть вас снова! ещё",5,0,Нет,""
"2025-11-13 14:00:20","Покупатель Wildberries","Выкупили",5,1,Нет,""
"2025-11-13 14:00:20","Анонимный покупатель","Текст отзыва недоступен",5,1,Нет,""
"2025-11-13 14:00:20","Анонимный покупатель","Текст отзыва недоступен",5,1,Нет,""
"2025-11-13 14:00:20","Покупатель Wildberries","Выкупили",5,0,Нет,""
"2025-11-13 14:00:21","Покупатель Wildberries","Выкупили",5,0,Нет,""
"2025-11-13 14:00:21","Выкупили","Выкупили",5,0,Нет,""
"2025-11-13 14:00:21","Сегодня, 13:02","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:21","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:22","Сегодня, 13:02","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:22","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:22","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
